timestamp_year_month_day,point_amount_cumsum
2018-04-01,83842.0
2018-04-02,1295437.0
2018-04-03,1246040.0
2018-04-04,914424.0
2018-04-05,1406985.0
2018-04-06,701784.0
2018-04-07,876096.0
2018-04-08,370738.0
2018-04-09,-106319.0
2018-04-10,424393.0
2018-04-11,194524.0
2018-04-12,1282502.0
2018-04-13,741251.0
2018-04-14,488367.0
2018-04-15,1127753.0
2018-04-16,866373.0
2018-04-17,743528.0
2018-04-18,387831.0
2018-04-19,161988.0
2018-04-20,2625019.0
2018-04-21,1977607.0
2018-04-22,397215.0
2018-04-23,704834.0
2018-04-24,820814.0
2018-04-25,2579290.0
2018-04-26,965159.0
2018-04-27,402395.0
2018-04-28,152471.0
2018-04-29,473279.0
2018-04-30,-338172.0
