timestamp_year_month_day,amount
2018-04-01,1386872
2018-04-02,-21457689
2018-04-03,23933671
2018-04-04,-6326630
2018-04-05,-1360634
2018-04-06,10139368
2018-04-07,1339931
2018-04-08,-11691662
2018-04-09,-3960911
2018-04-10,12016914
2018-04-11,-5561908
2018-04-12,-914872
2018-04-13,-9821100
2018-04-14,3804128
2018-04-15,-9266205
2018-04-16,30707319
2018-04-17,-474549
2018-04-18,1721406
2018-04-19,890354
2018-04-20,2101743
2018-04-21,-34376634
2018-04-22,22892512
2018-04-23,-24091452
2018-04-24,39752051
2018-04-25,2419432
2018-04-26,-4840848
2018-04-27,-23839081
2018-04-28,9683467
2018-04-29,20795312
2018-04-30,75735
