timestamp_year_month_day,amount
2018-05-01,-17802234
2018-05-02,8295332
2018-05-03,10138584
2018-05-04,545803
2018-05-05,340552
2018-05-06,-15021496
2018-05-07,-9802781
2018-05-08,-4478454
2018-05-09,32020288
2018-05-10,-15454910
2018-05-11,15948021
2018-05-12,716218
2018-05-13,506235
2018-05-14,748015
2018-05-15,-642716
2018-05-16,-33671859
2018-05-17,35135338
2018-05-18,827709
2018-05-19,722379
2018-05-20,-26828987
2018-05-21,28321486
2018-05-22,-23719995
2018-05-23,23599623
2018-05-24,-12506828
2018-05-25,12749313
2018-05-26,-13815553
2018-05-27,3720588
2018-05-28,-5858398
2018-05-29,16548664
2018-05-30,187538
2018-05-31,531831
